codigo_snies,nombre_programa,tipo_cubrimiento,departamento,municipio,nombre_institucion,codigo_institucion
738,ODONTOLOGIA,Convenio,Antioquia,Medellín,UNIVERSIDAD DE CARTAGENA,1205
738,ODONTOLOGIA,Convenio,Antioquia,Medellín,UNIVERSIDAD CES,2708
738,ODONTOLOGIA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",INSTITUCION UNIVERSITARIA COLEGIOS DE COLOMBIA - UNICOC,2701
738,ODONTOLOGIA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",UNIVERSIDAD DE CARTAGENA,1205
738,ODONTOLOGIA,Convenio,Magdalena,Santa Marta,UNIVERSIDAD DE CARTAGENA,1205
738,ODONTOLOGIA,Convenio,Magdalena,Santa Marta,UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,1213
738,ODONTOLOGIA,Convenio,Valle del Cauca,Santiago de Cali,UNIVERSIDAD DE CARTAGENA,1205
738,ODONTOLOGIA,Convenio,Valle del Cauca,Santiago de Cali,UNIVERSIDAD DEL VALLE,1203
738,ODONTOLOGIA,Principal,Bolívar,Cartagena de Indias,UNIVERSIDAD DE CARTAGENA,1205
790,INGENIERIA AGRONOMICA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",UNIVERSIDAD NACIONAL DE COLOMBIA,1101
790,INGENIERIA AGRONOMICA,Principal,Nariño,Pasto,UNIVERSIDAD DE NARIÑO,1206
790,INGENIERIA AGRONOMICA,Principal,Nariño,San Andrés de Tumaco,UNIVERSIDAD DE NARIÑO,1206
790,INGENIERIA AGRONOMICA,Principal,Nariño,Túquerres,UNIVERSIDAD DE NARIÑO,1206
1827,ESPECIALIZACION EN GERENCIA DE LA SALUD PUBLICA,Convenio,Quindío,Armenia,UNIVERSIDAD CES,2708
1827,ESPECIALIZACION EN GERENCIA DE LA SALUD PUBLICA,Convenio,Quindío,Armenia,CORPORACION UNIVERSITARIA EMPRESARIAL ALEXANDER VON HUMBOLDT - CUE,2840
1827,ESPECIALIZACION EN GERENCIA DE LA SALUD PUBLICA,Principal,Antioquia,Medellín,UNIVERSIDAD CES,2708
2217,TECNOLOGIA EN GESTI¿N EMPRESARIAL,Convenio,Antioquia,Envigado,INSTITUCION UNIVERSITARIA MARCO FIDEL SUAREZ - IUMAFIS,3812
2217,TECNOLOGIA EN GESTI¿N EMPRESARIAL,Convenio,Antioquia,Envigado,INSTITUCION UNIVERSITARIA DE ENVIGADO,2302
2217,TECNOLOGIA EN GESTI¿N EMPRESARIAL,Convenio,Antioquia,Medellín,TECNOLOGICO DE ANTIOQUIA,3204
2217,TECNOLOGIA EN GESTI¿N EMPRESARIAL,Convenio,Antioquia,Medellín,INSTITUCION UNIVERSITARIA MARCO FIDEL SUAREZ - IUMAFIS,3812
2217,TECNOLOGIA EN GESTI¿N EMPRESARIAL,Convenio,Antioquia,Medellín,FUNDACION UNIVERSITARIA MARIA CANO,2721
2217,TECNOLOGIA EN GESTI¿N EMPRESARIAL,Convenio,Antioquia,Medellín,INSTITUCION UNIVERSITARIA ESCOLME,3703
2217,TECNOLOGIA EN GESTI¿N EMPRESARIAL,Convenio,Antioquia,Medellín,UNIVERSIDAD PONTIFICIA BOLIVARIANA,1710
2217,TECNOLOGIA EN GESTI¿N EMPRESARIAL,Convenio,Antioquia,Medellín,COLEGIO MAYOR DE ANTIOQUIA,2110
2217,TECNOLOGIA EN GESTI¿N EMPRESARIAL,Principal,Antioquia,Bello,INSTITUCION UNIVERSITARIA MARCO FIDEL SUAREZ - IUMAFIS,3812
3476,ESPECIALIZACION EN EPIDEMIOLOGIA,Ampliación cobertura,"Bogotá, D.C.","Bogotá, D.C.",UNIVERSIDAD CES,2708
3476,ESPECIALIZACION EN EPIDEMIOLOGIA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",UNIVERSIDAD CES,2708
3476,ESPECIALIZACION EN EPIDEMIOLOGIA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,1714
3476,ESPECIALIZACION EN EPIDEMIOLOGIA,Extensión,"Bogotá, D.C.","Bogotá, D.C.",UNIVERSIDAD CES,2708
3476,ESPECIALIZACION EN EPIDEMIOLOGIA,Principal,Antioquia,Medellín,UNIVERSIDAD CES,2708
5509,ESPECIALIZACION EN GERENCIA DE LA SALUD PUBLICA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",UNIVERSIDAD CES,2708
5509,ESPECIALIZACION EN GERENCIA DE LA SALUD PUBLICA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,1714
5509,ESPECIALIZACION EN GERENCIA DE LA SALUD PUBLICA,Principal,"Bogotá, D.C.","Bogotá, D.C.",UNIVERSIDAD CES,2708
5511,ESPECIALIZACION EN EPIDEMIOLOGIA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",UNIVERSIDAD CES,2708
5511,ESPECIALIZACION EN EPIDEMIOLOGIA,Convenio,"Bogotá, D.C.","Bogotá, D.C.",COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,1714
5511,ESPECIALIZACION EN EPIDEMIOLOGIA,Principal,"Bogotá, D.C.","Bogotá, D.C.",UNIVERSIDAD CES,2708
5512,ESPECIALIZACION EN AUDITORIA EN SALUD,Convenio,"Bogotá, D.C.","Bogotá, D.C.",UNIVERSIDAD CES,2708
5512,ESPECIALIZACION EN AUDITORIA EN SALUD,Convenio,"Bogotá, D.C.","Bogotá, D.C.",COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO,1714
5512,ESPECIALIZACION EN AUDITORIA EN SALUD,Principal,"Bogotá, D.C.","Bogotá, D.C.",UNIVERSIDAD CES,2708
5945,ESPECIALIZACION EN DERECHO PROCESAL,Convenio,Valle del Cauca,Santiago de Cali,UNIVERSIDAD PONTIFICIA BOLIVARIANA,1710
5945,ESPECIALIZACION EN DERECHO PROCESAL,Convenio,Valle del Cauca,Santiago de Cali,UNIVERSIDAD DE SAN BUENAVENTURA,1716
5945,ESPECIALIZACION EN DERECHO PROCESAL,Principal,Valle del Cauca,Santiago de Cali,UNIVERSIDAD PONTIFICIA BOLIVARIANA,1710
6022,ESPECIALIZACION EN GERENCIA DE IMPUESTOS,Convenio,Bolívar,Cartagena de Indias,UNIVERSIDAD DE CARTAGENA,1205
6022,ESPECIALIZACION EN GERENCIA DE IMPUESTOS,Convenio,Bolívar,Cartagena de Indias,UNIVERSIDAD EXTERNADO DE COLOMBIA,1706
6022,ESPECIALIZACION EN GERENCIA DE IMPUESTOS,Principal,Bolívar,Cartagena de Indias,UNIVERSIDAD EXTERNADO DE COLOMBIA,1706
6228,ESPECIALIZACION EN SALUD OCUPACIONAL,Convenio,Cesar,Valledupar,UNIVERSIDAD DEL NORTE,1713
6228,ESPECIALIZACION EN SALUD OCUPACIONAL,Convenio,Cesar,Valledupar,UNIVERSIDAD POPULAR DEL CESAR,1120
6228,ESPECIALIZACION EN SALUD OCUPACIONAL,Principal,Cesar,Valledupar,UNIVERSIDAD DEL NORTE,1713
6316,ESPECIALIZACION EN REVISORIA FISCAL Y AUDITORIA EXTERNA,Convenio,Quindío,Armenia,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,1823
6316,ESPECIALIZACION EN REVISORIA FISCAL Y AUDITORIA EXTERNA,Convenio,Quindío,Armenia,UNIVERSIDAD DEL QUINDIO,1208
6316,ESPECIALIZACION EN REVISORIA FISCAL Y AUDITORIA EXTERNA,Principal,Quindío,Armenia,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,1823
6792,ESPECIALIZACION EN CIENCIA POLITICA,Convenio,Atlántico,Barranquilla,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,1823
6792,ESPECIALIZACION EN CIENCIA POLITICA,Convenio,Atlántico,Barranquilla,UNIVERSIDAD DEL ATLANTICO,1202
6792,ESPECIALIZACION EN CIENCIA POLITICA,Principal,Atlántico,Barranquilla,UNIVERSIDAD AUTONOMA DE BUCARAMANGA-UNAB-,1823
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenio,Atlántico,Puerto Colombia,UNIVERSIDAD DEL ATLANTICO,1202
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenio,Atlántico,Puerto Colombia,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenio,Bolívar,Cartagena de Indias,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenio,Bolívar,Cartagena de Indias,UNIVERSIDAD DE CARTAGENA,1205
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenio,Cauca,Popayán,UNIVERSIDAD DEL CAUCA,1110
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenio,Cauca,Popayán,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenio,Magdalena,Santa Marta,UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA - UPTC,1106
7170,DOCTORADO EN CIENCIAS DE LA EDUCACION,Convenio,Magdalena,Santa Marta,UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA,1213
